Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Hartford,246443008,OABX,"Administrative (office buildings, court houses, any others)",00030 TRINITY ST,STATE OF CONN OFFICE BUILDING,0.8,1084/695,"$655,060","$2,792,370","$3,447,430","$3,447,430",POINT (-72.680273015 41.763700015)
Colchester,C0515000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00011 MUNN RD,CONNECTICUT STATE OF,0.53,82/250,"$44,000",$0,"$44,000","$44,000",POINT (-72.321082983 41.592569003)
Goshen,00060900,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOWN HILL ROAD,CONNECTICUT STATE OF,1.7,32/380,"$116,540",$0,"$116,540","$116,540",POINT (-73.233899461 41.810521265)
Canaan,14105044,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MUSIC MOUNTAIN RD,CONNECTICUT STATE OF,21.03,51/506,"$151,500",$0,"$151,500","$151,500",POINT (-73.225757787 41.987363569)
Durham,C0054100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WALLINGFORD RD,CONNECTICUT STATE OF,5.2,110/142,"$14,560",$0,"$14,560","$14,560",POINT (-72.70901002 41.472869533)
Canaan,14105080,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 STEIN LN,CONNECTICUT STATE OF,37.34,55/28,"$174,900",$0,"$174,900","$174,900",POINT (-73.33104 42.02767)
Chaplin,C001013,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 NYBERG RD,CONNECTICUT STATE OF,0.1,54/443,"$1,400",$0,"$1,400","$1,400",POINT (-72.110663937 41.769451029)
East Haddam,00367700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 STANLEY AVE,CONN STATE OF,0.05,74/454,$970,$0,$970,$970,POINT (-72.409270075 41.506476936)
Fairfield,22064,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",05240 BLACK ROCK TURNPIKE,STATE OF CONNECTICUT,2.44,2481/49,$670,$0,$670,$670,POINT (-73.288486333 41.210525558)
Hamden,2924001000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00640 HILL ST REAR,CONNECTICUT STATE OF,8.7,739/443,"$101,360",$0,"$101,360","$101,360",POINT (-72.940838976 41.399037019)
Hartland,98100892,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 GRANVILLE RD,STATE OF CONNECTICUT,"1,883",0/0,"$2,636,200",$0,"$2,636,200","$2,636,200",POINT (-72.891415232 42.015538607)
East Haddam,00126310,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 STOCKBURGER RD,CONN STATE OF,1.7,313/193,"$185,550",$0,"$185,550","$185,550",POINT (-72.470164593 41.527250573)
Easton,00297894,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 NORTH PARK AVENUE,STATE OF CONNECTICUT,6.11,382/275,"$176,050",$0,"$176,050","$176,050",POINT (-73.288359091 41.278611274)
Bloomfield,R90214,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00116R TARIFFVILLE RD,CONNECTICUT STATE OF,1.05,203/294,"$5,720",$0,"$5,720","$5,720",POINT (-72.759973693 41.897907756)
Branford,11147,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 DEMOCRAT ISLAND,CONNECTICUT STATE OF,0.95,177/693,"$13,700",$0,"$13,700","$13,700",POINT (-72.81344 41.28321)
East Haddam,00392001,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 STOCKBURGER RD,CONN STATE OF,1.2,369/339,"$184,640",$0,"$184,640","$184,640",POINT (-72.470164593 41.527250573)
Coventry,30052,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",CASE RD,CONNECTICUT STATE OF,37.46,0145 0187,"$177,700",$0,"$177,700","$177,700",POINT (-72.357504895 41.780435178)
Burlington,30214600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MILFORD ST,CONNECTICUT STATE OF,311.3,243/518,"$1,063,230",$0,"$1,063,230","$1,063,230",POINT (-72.9703772 41.741655149)
Clinton,C0647400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 LIBERTY PL,CONNECTICUT STATE OF,0.22,0/0,"$28,900",$0,"$28,900","$28,900",POINT (-72.522414209 41.289932394)
Hartford,225445130,OABX,"Administrative (office buildings, court houses, any others)",00060 WASHINGTON ST,STATE OF CONN,1.3,3332/8,"$1,070,300","$6,358,450","$7,428,750","$7,428,750",POINT (-72.681130987 41.761033983)
Canton,4490084,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00084 RIVER ROAD,CONNECTICUT STATE OF,0.44,58/287,$920,$0,$920,$920,POINT (-72.92574969 41.826975826)
Haddam,M0372200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 MAPLE AVE,CONN STATE OF,24.63,393/590,"$24,570",$0,"$24,570","$24,570",POINT (-72.454307106 41.470206925)
Coventry,30570,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",800 BUNKER HILL RD,CONNECTICUT STATE OF,37.69,1238 0216,"$158,300","$7,400","$165,700","$165,700",POINT (-72.330344986 41.74665399)
Bridgeport,1019900,BFBX,,00000 MAIN ST,Sikorsky Airport (Located in Stratford),77.64,481/134,"$3,496,080",$0,"$3,496,080","$1,748,040",POINT (-73.189914511 41.180977583)
Cromwell,00098200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00002 SEBETHE DRIVE,CONNECTICUT STATE OF,0.54,130/313,"$230,020","$54,600","$284,620","$284,620",POINT (-72.70660401 41.605345999)
Haddam,O0436400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 OLD CHESTER RD,CONN STATE OF MISC,39.02,170/735,"$10,650",$0,"$10,650","$10,650",POINT (-72.466277112 41.43827372)
East Lyme,7596,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",35 GIANTS NECK RD,CONNECTICUT STATE OF WELFARE,0.93,0125 0367,"$85,540",$0,"$85,540","$85,540",POINT (-72.237420211 41.314542977)
Farmington,16950258,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00258 SCOTT SWAMP RD,CONNECTICUT STATE OF TCC,6.7,914/138,"$154,280","$168,000","$322,280","$322,280",POINT (-72.876670981 41.708249995)
East Hampton,R20060,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SUMMIT ST,CONNECTICUT STATE OF,0.08,0/0,"$3,430",$0,"$3,430","$3,430",POINT (-72.49872379 41.577970166)
Easton,00297888,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 EVERETT ROAD,STATE OF CONNECTICUT,7.17,382/277,"$33,320",$0,"$33,320","$33,320",POINT (-73.283426876 41.28821062)
Cornwall,98106020,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 GREAT HOLLOW RD,CONNECTICUT STATE OF,"1,473",43/472,"$793,700",$0,"$793,700","$793,700",POINT (-73.320128846 41.788893548)
Avon,1090280,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",280 ARCH RD,CONNECTICUT STATE OF,37.01,49/495,"$1,092,280","$1,608,950","$2,701,230","$2,701,230",POINT (-72.859237964 41.802731017)
Easton,00297829,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,37.44,383/16,"$10,220",$0,"$10,220","$10,220",POINT (-73.320495412 41.246493324)
Danbury,I15291,OABX,"Administrative (office buildings, court houses, any others)",00071 MAIN ST,STATE OF CONNECTICUT,0.33,0/0,"$306,320","$1,279,670","$1,585,990","$1,585,990",POINT (-73.447464003 41.390468996)
Kent,00079700,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 KEELER RD,CONNECTICUT STATE OF,46,33/210,"$235,700",$0,"$235,700","$235,700",POINT (-73.484717598 41.787212368)
Griswold,00527600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00281 LEE RD,CONNECTICUT STATE OF,77.5,0/0,"$67,830",$0,"$67,830","$67,830",POINT (-71.88085836 41.600371805)
Glastonbury,41400002A,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",03024 MAIN ST,CONNECTICUT STATE OF,0.7,176/323,"$370,400","$21,000","$391,400","$391,400",POINT (-72.615270015 41.726607998)
Ansonia,00065030,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00037 FORD ST,STATE OF CONNECTICUT,18,180/918,"$174,790","$21,630","$196,420","$196,420",POINT (-73.059431004 41.335640997)
East Haddam,00432550,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 FALLS BASHAN RD,CONN STATE OF,0.29,83/573,"$32,190",$0,"$32,190","$32,190",POINT (-72.414853418 41.499292702)
Hartford,193056001,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",00500 VINE ST,STATE OF CONN MENTAL HEALTH,3.13,1545/173,"$381,640","$8,244,180","$8,625,820","$8,625,820",POINT (-72.687597961 41.796431011)
Canaan,14105066-Q,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RT 7 N,CONNECTICUT STATE OF,13.29,39/407,"$106,100",$0,"$106,100","$106,100",POINT (-73.33104 42.02767)
Derby,2467,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",WATER ST,STATE OF CONNECTICUT,0.06,721 278,"$3,850",$0,"$3,850","$3,850",POINT (-73.086599365 41.322911618)
Groton,168708884427 E,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",1057 SHENNECOSSETT RD,CONNECTICUT STATE OF,21.71,242/633,"$2,206,330","$5,320","$2,211,650","$2,211,650",POINT (-72.06468199 41.321343985)
East Hartford,00003850,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00106 DEPIETRO DR,STATE OF CT DPT OF HOUSING,2.9,1324/72,"$4,220",$0,"$4,220","$4,220",POINT (-72.587959767 41.756897412)
Easton,00035600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,119.65,383/140,"$32,690",$0,"$32,690","$32,690",POINT (-73.320495412 41.246493324)
Burlington,00066200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ARCH ST,CONNECTICUT STATE OF,0.2,50/385,"$38,850",$0,"$38,850","$38,850",POINT (-72.923799138 41.805016322)
Coventry,30055,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",SOUTH RIVER RD,CONNECTICUT STATE OF,11.77,0127 0180,"$87,800",$0,"$87,800","$87,800",POINT (-72.357288724 41.786453622)
Branford,11153,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ROSE HILL RD OFF,CONNECTICUT STATE OF,18.94,204/394,"$19,900",$0,"$19,900","$19,900",POINT (-72.855346074 41.273383895)
Beacon Falls,00152000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00400 PINESBRIDGE RD,CONN STATE OF DEP,131.39,121/148,"$2,029,430","$32,580","$2,062,010","$2,062,010",POINT (-73.0861383 41.433382607)
Coventry,30438,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",1294 MAIN ST,COVENTRY TOWN OF,1.12,12 5 18,"$41,100","$15,300","$56,400","$56,400",POINT (-72.303806037 41.769415006)
Griswold,C0461700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",01519R GLASGO RD,CONNECTICUT STATE OF,62.5,42/383,"$410,130",$0,"$410,130","$410,130",POINT (-71.899012271 41.580847571)
Essex,00200000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00005 PLAINS RD,CONNECTICUT STATE OF DEP,3.02,222/584,"$203,600","$890,800","$1,094,400","$1,094,400",POINT (-72.404555004 41.349982015)
Glastonbury,25600009S,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 GOODALE HILL RD,CONNECTICUT STATE OF,30.36,3051/51,"$138,300",$0,"$138,300","$138,300",POINT (-72.505766199 41.693214317)
Griswold,C0461400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00200 COAL PIT HILL RD,CONNECTICUT STATE OF,29.2,40/149,"$25,550",$0,"$25,550","$25,550",POINT (-71.86796721 41.520771207)
Bristol,0241008,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 EAST RD,STATE OF CONNECTICUT,3.6,589/910,"$411,670",$0,"$411,670","$411,670",POINT (-72.937575986 41.663681736)
Farmington,06358228,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",08228 FARMINGTON AV,CONNECTICUT STATE OF,0.48,0/0,"$71,120",$0,"$71,120","$71,120",POINT (-72.842477827 41.737468293)
Hartland,98100902,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CENTER HILL RD,STATE OF CONNECTICUT,146,0/0,"$204,400",$0,"$204,400","$204,400",POINT (-72.977867571 41.960750567)
East Hampton,R03886,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 COBALT RD,CONNECTICUT STATE OF,1.02,470/992,"$56,490",$0,"$56,490","$56,490",POINT (-72.544810098 41.58092962)
Burlington,00066300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00034 BELDEN RD,CONNECTICUT STATE OF,274,0/0,"$652,400","$157,360","$809,760","$809,760",POINT (-72.948943019 41.768003996)
Chester,00032912,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BUTTER JONES RD,CONNECTICUT STATE OF,10.35,1/1,"$3,620",$0,"$3,620","$3,620",POINT (-72.51778704 41.382504763)
Bristol,0013498,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00251 EAST MAIN ST,STATE OF CONNECTICUT DEPT OF TRAN.,0.34,1459/349,"$53,330",$0,"$53,330","$53,330",POINT (-72.888759027 41.673459984)
Colchester,G0511200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 STANAVAGE RD,GOLDEN HILL PAUGUSETTE RESERVATION,1.15,123/915,"$45,300",$0,"$45,300","$45,300",POINT (-72.260159209 41.549930108)
East Hartford,00017225,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00055R CARROLL RD,STATE OF CONNECTICUT,0.01,311/328,"$7,080",$0,"$7,080","$7,080",POINT (-72.648046412 41.76608959)
Haddam,C0095800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CEDAR LAKE RD,CONN STATE OF MUNICIPAL DIV,15.4,188/849,"$33,460",$0,"$33,460","$33,460",POINT (-72.515009752 41.43549258)
Cheshire,00052900,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",01951 WATERBURY RD,CONNECTICUT STATE OF,1.1,1467/310,"$47,420",$0,"$47,420","$47,420",POINT (-72.950600966 41.540860232)
Easton,00297846,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,4.23,383/15,"$189,000",$0,"$189,000","$189,000",POINT (-73.320495412 41.246493324)
Fairfield,17179,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00260 NORTH BENSON ROAD,STATE OF CONNECTICUT,0.04,601/1080,"$9,730",$0,"$9,730","$9,730",POINT (-73.251021624 41.150159677)
Glastonbury,04200002C,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BIRCH MOUNTAIN RD,CONNECTICUT STATE OF,1.2,0/0,"$230,700","$72,500","$303,200","$303,200",POINT (-72.46460837 41.721883728)
Colchester,C0525000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 NORWICH AVE,CONNECTICUT STATE OF,7,331/29,"$47,400",$0,"$47,400","$47,400",POINT (-72.298017646 41.574891562)
Durham,C0054200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 TRI-MOUNTAIN RD,CONNECTICUT STATE OF,2.34,109/391,"$1,390",$0,"$1,390","$1,390",POINT (-72.721287343 41.454475512)
Groton,260818215655 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",BROOK ST,CONNECTICUT STATE OF DEP,11.95,733/533,"$156,100",$0,"$156,100","$156,100",POINT (-72.002782921 41.330907435)
Deep River,00034400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HOOPOLE HILL RD,STATE OF CONNECTICUT THE,12.55,246/981,"$129,780",$0,"$129,780","$129,780",POINT (-72.483237808 41.374677554)
Fairfield,17187,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",01515 CROSS HIGHWAY,STATE OF CONNECTICUT,2,166/302,"$59,500",$0,"$59,500","$59,500",POINT (-73.31714313 41.181014876)
Hampton,00191200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SAND HILL RD,CONNECTICUT STATE OF,48.44,0/0,"$151,730",$0,"$151,730","$151,730",POINT (-72.045524237 41.755104214)
Bloomfield,R93516,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00016 DUNCASTER RD,CONNECTICUT STATE OF,4.5,645/139,"$47,530",$0,"$47,530","$47,530",POINT (-72.770409345 41.838915706)
East Haddam,00433500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 STARR RD,CONN STATE OF,286.98,445/257,"$60,270",$0,"$60,270","$60,270",POINT (-72.398642609 41.51505998)
East Haven,Z0064000,BFBX,,00056 HOLMES ST,TWEED NEW HAVEN AIRPORT AUTH,0.29,2131/114,"$46,060",$0,"$46,060","$46,060",POINT (-72.886748277 41.274552317)
Bloomfield,R90200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00063 KENWOOD CIR,CONNECTICUT STATE OF,1.1,104/749,"$48,650",$0,"$48,650","$48,650",POINT (-72.725773342 41.810778911)
Bloomfield,R03980,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00064 CIDER HILL RD,CONNECTICUT STATE OF,35.37,1803/137,"$171,290",$0,"$171,290","$171,290",POINT (-72.768506363 41.813283517)
Danbury,J13081,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00000 WHITE ST,STATE OF CONNECTICUT,1.32,0/0,"$545,580","$4,325,930","$4,871,510","$4,871,510",POINT (-73.443461546 41.399469986)
Chester,00032905,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HOOP POLE HILL RD,CONNECTICUT STATE OF,55.96,1/1,"$19,590",$0,"$19,590","$19,590",POINT (-72.476277543 41.390646704)
East Haddam,00234700,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 BASHAN RD,CONN STATE OF,258.84,0/0,"$473,690",$0,"$473,690","$473,690",POINT (-72.414853418 41.499292702)
East Haddam,00391900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 STOCKBURGER RD,CONN STATE OF,2.87,89/522,"$187,680",$0,"$187,680","$187,680",POINT (-72.470164593 41.527250573)
Colchester,C0516700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BULL HILL RD,CONNECTICUT STATE OF,3.3,0/0,"$3,200",$0,"$3,200","$3,200",POINT (-72.445299615 41.576959582)
Farmington,06350750,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00750 FARMINGTON AV,CONNECTICUT STATE OF DOT,2.54,952/668,"$749,700",$0,"$749,700","$749,700",POINT (-72.821290036 41.725848932)
Hamden,2427122000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01972 DIXWELL AVE,CONNECTICUT STATE OF,1,535/404,"$39,830",$0,"$39,830","$39,830",POINT (-72.922350086 41.365299589)
Columbia,00044700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 FLANDERS RD (REAR),CONN STATE OF,1.1,43/350,"$2,310",$0,"$2,310","$2,310",POINT (-72.252541958 41.720661758)
Griswold,08229704,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00199 BITGOOD RD,CONNECTICUT STATE OF,52.2,0/0,"$52,500",$0,"$52,500","$52,500",POINT (-71.923409796 41.595796527)
Hamden,3132025000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00300 MT CARMEL AVE,CONNECTICUT STATE OF,"1,386",577/321,"$6,177,290","$168,560","$6,345,850","$6,345,850",POINT (-72.893527615 41.422011723)
Burlington,00067000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00418 STONE RD,CONNECTICUT STATE OF,260,0/0,"$43,680",$0,"$43,680","$43,680",POINT (-72.936334039 41.756066993)
Canton,1160066,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00066 BAHRE CORNER ROAD,CONNECTICUT STATE OF,1.74,394/406,"$70,000",$0,"$70,000","$70,000",POINT (-72.883101376 41.838641658)
Bloomfield,R93515,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00010 LOEFFLER RD,CONNECTICUT STATE OF,50.1,813/131,"$20,800",$0,"$20,800","$20,800",POINT (-72.758784453 41.830163709)
Easton,00297840,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,5.76,383/17,"$189,000",$0,"$189,000","$189,000",POINT (-73.320495412 41.246493324)
Clinton,C0646100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BEACH PARK RD (REAR),CONNECTICUT STATE OF,2.85,93/3,"$49,900",$0,"$49,900","$49,900",POINT (-72.510186737 41.266726233)
Farmington,03658107,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",08107 COLLINSVILLE RD,CONNECTICUT STATE OF,0.41,141/250,"$52,500",$0,"$52,500","$52,500",POINT (-72.896040009 41.764525004)
Hartland,98100907,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HOGBACK RD,STATE OF CONNECTICUT,6.5,0/0,"$9,100",$0,"$9,100","$9,100",POINT (-73.017678183 41.987857788)
Ansonia,00064990,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00137 PRINDLE AVE,EMMETT OBRIEN VOC SCHOOL,14,128/101,"$189,560","$18,222,680","$18,412,240","$18,412,240",POINT (-73.065044029 41.335039009)
Bloomfield,R90185,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00469R TUNXIS AVE,CONNECTICUT STATE OF,0.23,179/185,"$3,900",$0,"$3,900","$3,900",POINT (-72.746721155 41.893050438)
Danbury,G21008,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SUGAR HOLLOW RD,STATE OF CONNECTICUT - PARK,251.6,0/0,"$68,670",$0,"$68,670","$68,670",POINT (-73.469591029 41.3501885)
Avon,1940036,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",36 COUNTRY CLUB RD,CONNECTICUT STATE OF (DOT),8,127/901,"$448,000",$0,"$448,000","$448,000",POINT (-72.838612594 41.791103538)
East Hartford,00017202,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00018 KOHLER ST,STATE OF CONNECTICUT,0.02,0/0,"$6,620",$0,"$6,620","$6,620",POINT (-72.625095556 41.733328373)
Hartford,269077027,OABX,"Administrative (office buildings, court houses, any others)",00232-238 COLUMBUS BLVD,STATE OF CONN DEPT OF TRANS,0.12,3156/110,"$193,900",$0,"$193,900","$193,900",POINT (-72.669404034 41.764147986)
Cornwall,98100283,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RIVER RD,CONN STATE OF,8,108/940,"$136,200",$0,"$136,200","$136,200",POINT (-73.357981037 41.893936053)
Danbury,I14268,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 PATRIOT DR,STATE OF CONNECTICUT,2.62,1032/125,"$604,940","$217,140","$822,080","$822,080",POINT (-73.449865109 41.395225727)
Haddam,R0549800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HADDAM VIEW HEIGHTS,CONN STATE OF MUNICIPAL DIV,2,136/931,"$5,460",$0,"$5,460","$5,460",POINT (-72.473371258 41.462219352)
Danbury,K05122,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00010 FORTY ACRE MT RD,STATE OF CT,0.43,460/426,"$70,420",$0,"$70,420","$70,420",POINT (-73.432303311 41.460285419)
