Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
20401,2020,07/07/2021,Bethel,104 LEXINGTON BLVD,"$193,060.00","$335,000.00",0.5762,Residential,Condo,26 - Rehabilitation Deferred,,,
210006,2021,10/04/2021,Danbury,81-95 PARK AV 207 & CP16,"$106,800.00","$271,000.00",0.394,Residential,Condo,25 - Other,2 PARCELS SOLD TOGETHER / H15124-134,,POINT (-73.464338031 41.384611009)
200657,2020,08/02/2021,Groton,296 MERIDIAN ST UNIT I,"$49,350.00","$101,000.00",0.4886,Residential,Condo,,,,POINT (-72.07035 41.35484)
201354,2020,09/23/2021,Bristol,103 BUTTERNUT LN,"$61,950.00","$129,900.00",0.4769,Residential,Condo,,,,
200469,2020,05/13/2021,East Haven,15 ELM CT,"$108,350.00","$247,000.00",0.4386,Residential,Single Family,,,,
20006,2020,10/05/2020,Bethel,62 KINGSWOOD DRIVE,"$173,530.00","$320,000.00",0.5422,Residential,Condo,,,,
200480,2020,06/28/2021,Farmington,8531 MT SPRING RD,"$155,060.00","$228,000.00",0.68,Vacant Land,,,,,
200063,2020,11/09/2020,Killingly,25 BEATRICE AVE,"$105,000.00","$210,000.00",0.5,Residential,Single Family,,,,
210890,2021,06/17/2022,Hamden,1730 STATE ST U412,"$30,310.00","$99,000.00",0.3061,Residential,Condo,,,,POINT (-72.898875984 41.329211994)
201564,2020,08/10/2021,Greenwich,64 BENJAMIN STREET,"$1,006,180.00","$1,820,000.00",0.5528,Residential,Single Family,,,,POINT (-73.56107 41.02489)
200122,2020,10/26/2020,Danbury,8 SENECA RD,"$216,800.00","$399,000.00",0.5433,Residential,Single Family,,G11011,,
211417,2021,04/21/2022,Bridgeport,325 LAFAYETTE UNIT # 8111,"$48,710.00","$125,000.00",0.3896,Residential,Condo,,,,POINT (-73.189155037 41.167946985)
2100526,2021,07/11/2022,Naugatuck,1069 ANDREW MOUNTAIN RD,"$217,680.00","$575,000.00",0.3785,Residential,Single Family,,,,POINT (-73.097515019 41.478882987)
210497,2021,12/06/2021,Bridgeport,75 CLARKSON ST,"$229,290.00","$410,000.00",0.5592,Residential,Single Family,,,,POINT (-73.229929979 41.154724993)
200627,2020,03/19/2021,Manchester,12 CROSBY ROAD,"$101,300.00","$210,000.00",0.4823,Residential,Single Family,,,,POINT (-72.50038 41.78782)
200581,2020,08/02/2021,Farmington,50 FOREST HILLS DR,"$279,400.00","$750,000.00",0.372533333,Residential,Single Family,,,GOOD SALE PER MLS,
201294,2020,08/05/2021,Griswold,72-74 NORTH MAIN ST,"$359,520.00","$475,000.00",0.7568,Commercial,,,RETAIL STORE/OFFICE/APARTMENTS,,POINT (-73.41949 41.1009)
210429,2021,09/01/2022,Killingly,39 TAOS DR,"$154,630.00","$300,000.00",0.5154,Residential,Single Family,,,,POINT (-71.895631995 41.768029016)
200305,2020,08/05/2021,Colchester,11 VILLAGE CT,"$182,700.00","$330,000.00",0.5536,Residential,Single Family,,CONDO,,POINT (-72.334 41.58144)
210130,2021,01/10/2022,New Canaan,258 ELM ST,"$6,132,140.00","$13,500,000.00",0.4542,Commercial,,,,,POINT (-73.499010025 41.145406999)
210423,2021,01/13/2022,Bristol,17 EDGEWOOD ST,"$68,530.00","$145,900.00",0.4697,Residential,Single Family,,,,POINT (-72.95497296 41.668196987)
211065,2021,07/28/2022,Hamden,312 BATTIS RD,"$120,120.00","$259,000.00",0.4637,Residential,Single Family,,,,POINT (-72.930093963 41.362734996)
11187,2001,06/04/2002,Norwalk,12 NELSON AVE,"$167,860.00","$270,000.00",0.621703704,,,1,,,
200000411,2020,09/10/2021,Brookfield,11 BRISTOL PATH,"$3,770.00","$180,000.00",0.020944444,Residential,Condo,25 - Other,GARAGE SOLD W/ CONDO,ALSO SEE #200000410,POINT (-73.39124 41.46698)
201440,2020,09/15/2021,New Haven,889 CONGRESS AV,"$80,150.00","$214,000.00",0.3745,Residential,Two Family,,,,
2000385,2020,09/13/2021,Bloomfield,5 JONATHAN PLACE,"$139,720.00","$251,500.00",0.5555,Residential,Single Family,,,,POINT (-72.73451 41.84763)
200901,2020,06/17/2021,Manchester,11 CHARIS ROAD,"$100,500.00","$182,500.00",0.5506,Residential,Single Family,,,,POINT (-72.51198 41.80849)
200727,2020,08/30/2021,Groton,12 CHELSEA WAY,"$170,240.00","$330,000.00",0.5158,Residential,Single Family,,,,POINT (-71.99844 41.35569)
200312,2020,06/21/2021,Killingly,11 CHARLTON AVE,"$158,550.00","$329,000.00",0.481914894,Residential,Single Family,,,,
200471,2020,01/11/2021,Danbury,143 WESTILLVE AVE EXT,"$339,100.00","$280,000.00",1.211,Residential,Single Family,07 - Change in Property,HOUSE UNDER CONSTRUCTION / BAD SHAPE / F14089,,POINT (-73.47922 41.39532)
200138,2020,11/24/2020,Groton,28 PEPPERIDGE LN,"$137,970.00","$199,000.00",0.693316583,Residential,Single Family,25 - Other,PRIVATE SALE-ASSESSOR,,POINT (-72.06264 41.32583)
21160,2021,12/29/2021,Farmington,1 BARI LA,"$1,400,000.00","$1,600,000.00",0.875,Apartments,,25 - Other,MORTGAGE TAKEN OUT WAS $3800000,,POINT (-72.881082964 41.750390014)
21032,2021,12/06/2021,Lebanon,254 MCCALL RD,"$135,180.00","$310,000.00",0.436,Residential,Single Family,,,,POINT (-72.252628986 41.590651014)
200285,2020,04/12/2021,Guilford,30 GRANITE RD,"$77,840.00","$150,000.00",0.5189,Residential,Condo,,,,
200101,2020,12/14/2020,Killingly,285 NO SHORE RD,"$148,470.00","$215,000.00",0.6905,Residential,Single Family,,,,
211410,2021,08/22/2022,Danbury,97 HAYESTOWN RD,"$215,700.00","$266,039.00",0.810783381,Residential,Single Family,01 - Family,J08076,,POINT (-73.443757022 41.42604502)
218238,2021,06/13/2022,Middletown,51 SPRING ST,"$128,460.00","$325,000.00",0.3952,Residential,Four Family,,,,POINT (-72.655677997 41.566117979)
200588,2020,06/28/2021,Branford,51 MANORWOOD DR,"$100,300.00","$185,000.00",0.5421,Residential,Condo,,,,POINT (-72.7991 41.29168)
2000203,2020,03/01/2021,Cheshire,560 OAK AVE U15,"$97,840.00","$196,000.00",0.4991,Residential,Condo,,,,POINT (-72.91918 41.49172)
211098,2021,08/04/2022,Hamden,161 WESTMINSTER ST,"$126,350.00","$300,000.00",0.4211,Residential,Single Family,,,,POINT (-72.912461959 41.386131989)
201278,2020,09/07/2021,Bristol,268 DIVINITY ST UN 14 AKA 2-6,"$61,460.00","$125,000.00",0.4916,Residential,Condo,,,,POINT (-72.95913 41.67051)
21073,2021,08/16/2022,Barkhamsted,5 SCHOOL ST,"$37,230.00","$40,000.00",0.9307,Vacant Land,,25 - Other,"0.44 AC RC ZONE, NOT ON OPEN MARKET, SOLD TO ABUTTER",,POINT (-73.018143869 41.963011801)
210192,2021,01/05/2022,Glastonbury,76 RIDGECREST RD,"$237,600.00","$475,000.00",0.5002,Residential,Single Family,,,,POINT (-72.559012022 41.726753005)
210385,2021,01/03/2022,Bristol,82 FAIRFIELD ST,"$122,780.00","$236,000.00",0.5202,Residential,Single Family,,,,POINT (-72.937907992 41.691096011)
210811,2021,06/21/2022,Fairfield,125 VESPER STREET,"$264,320.00","$565,000.00",0.4678,Residential,Single Family,,,,POINT (-73.234403987 41.179839983)
200057,2020,11/03/2020,Madison,WEST SUSSEX PL U-3-4,"$20,000.00","$15,000.00",1.333333333,Residential,Condo,06 - Portion of Property,single garage from multi - part of 60-26,,POINT (-72.57894 41.28976)
210073,2021,04/07/2022,Easton,60 FIELDSTONE DRIVE,"$629,440.00","$900,000.00",0.6993,Residential,Single Family,,,,POINT (-73.277653015 41.30716302)
20004,2020,10/13/2020,Lebanon,88 LAKESIDE DR,"$175,540.00","$250,000.00",0.7021,Residential,Single Family,,,,POINT (-72.23248 41.55462)
210131,2021,01/24/2022,Avon,13 COTTONWOOD DRIVE,"$119,990.00","$210,000.00",0.5713,Residential,Condo,,,,POINT (-72.879237017 41.771912017)
2100263,2021,08/15/2022,New Fairfield,38 LINDA LN,"$177,600.00","$372,500.00",0.4767,Residential,Single Family,,,,POINT (-73.469361976 41.518566982)
201230,2020,07/15/2021,Danbury,52 BRIAR RIDGE RD,"$239,100.00","$487,000.00",0.4909,Residential,Single Family,,D19002,,POINT (-73.50821 41.38118)
2000377,2020,06/17/2021,Cheshire,9 SIERRA CT,"$75,920.00","$212,500.00",0.3572,Vacant Land,,,BUILDING LOT,,
200419,2020,02/04/2021,New Haven,769 DIXWELL AV,"$74,200.00","$190,000.00",0.3905,Residential,Two Family,,,,
20062,2020,05/10/2021,Bolton,39 STONEHEDGE LN,"$189,400.00","$273,750.00",0.6918,Residential,Single Family,,,,
21150,2021,08/22/2022,Haddam,57 MORRIS RD,"$166,660.00","$375,000.00",0.4444,Residential,Single Family,,,,POINT (-72.552127965 41.466209004)
200162,2020,01/12/2021,East Lyme,38 GURLEY RD,"$159,460.00","$243,000.00",0.6562,Residential,Two Family,,,,
200198,2020,09/28/2021,Bolton,9 MAPLE VALLEY RD,"$254,900.00","$545,000.00",0.4677,Residential,Single Family,,,,
20389,2020,06/07/2021,Darien,11 CATALPA TERRACE,"$475,370.00","$739,000.00",0.6432,Residential,Single Family,,,,
200032,2020,10/19/2020,Madison,10 ARROWHEAD RD,"$209,400.00","$475,000.00",0.4408,Residential,Single Family,,,,POINT (-72.64111 41.27666)
210137,2021,11/18/2021,Middletown,DURWIN ST,"$1,410.00","$2,400.00",0.5875,Vacant Land,,25 - Other,SALE COMBINED W R02373,,POINT (-72.656924973 41.536534995)
200143,2020,11/19/2020,Enfield,5 VALLEY VIEW CIR,"$187,870.00","$350,000.00",0.5367,Residential,Single Family,,,,
21344,2021,05/31/2022,Guilford,2 GREAT HILL COMMONS,"$212,750.00","$240,000.00",0.8864,Residential,Single Family,07 - Change in Property,,,POINT (-72.727510812 41.369145015)
200000372,2020,08/16/2021,Brookfield,64 OLD BRIDGE RD,"$410,680.00","$640,000.00",0.6416,Residential,Single Family,,,,POINT (-73.39233 41.51242)
210252,2021,08/02/2022,Mansfield,66 BALL HILL RD,"$218,600.00","$375,000.00",0.582933333,Residential,Single Family,25 - Other,PURCHASED BY ABUTTER,,POINT (-72.265815983 41.786295991)
200355,2020,03/18/2021,Branford,16 PROSPECT ST,"$177,100.00","$278,000.00",0.637,Residential,Single Family,,,,
200076,2020,04/26/2021,Goshen,5 VALCOVE COURT,"$166,630.00","$370,000.00",0.4503,Residential,Single Family,,,,
2000214,2020,03/09/2021,Cheshire,7 DIANA CT,"$352,560.00","$725,000.00",0.4862,Industrial,,,,,POINT (-72.88483 41.55107)
20618,2020,09/28/2021,Darien,147 HOLMES AVE,"$652,820.00","$1,344,800.00",0.4854,Residential,Single Family,,,,POINT (-73.51217 41.07469)
21000052,2021,11/01/2021,Cheshire,48 TROUT BROOK RD,"$261,280.00","$493,000.00",0.5299,Residential,Single Family,,,,POINT (-72.86383703 41.536875992)
210028,2021,10/06/2021,Fairfield,101 MILLARD STREET,"$317,870.00","$575,000.00",0.5528,Residential,Single Family,,,,POINT (-73.251155975 41.135725985)
201437,2020,07/20/2021,Greenwich,552 RIVER ROAD,"$1,337,630.00","$2,300,000.00",0.5815,Residential,Single Family,,,,
210313,2021,06/22/2022,New Canaan,88 ARROWHEAD TR,"$956,900.00","$1,925,000.00",0.497,Residential,Single Family,,,,POINT (-73.523413014 41.145042009)
200583,2020,02/03/2021,Greenwich,2 CONYERS FARM DRIVE,"$3,658,200.00","$4,200,000.00",0.871,Residential,Single Family,,,,POINT (-73.63269 41.1155)
210136,2021,03/07/2022,East Hampton,19 STARVIEW WAY,"$16,040.00","$125,000.00",0.1283,Vacant Land,,25 - Other,PRIVATE SALE,,POINT (-72.524031993 41.601023996)
20913,2020,09/14/2021,East Hartford,2 LAFAYETTE AVE,"$87,380.00","$235,000.00",0.3718,Residential,Single Family,14 - Foreclosure,,,
200052,2020,11/25/2020,Colchester,308 WESTCHESTER RD,"$133,900.00","$315,000.00",0.425,Residential,Single Family,07 - Change in Property,UNDER CONSTRUCTION,,
200089,2020,11/02/2020,Enfield,6 YALE DR,"$145,870.00","$257,500.00",0.5664,Residential,Single Family,,,,
210323,2021,06/14/2022,Killingly,23 R & R PARK,"$37,590.00","$75,000.00",0.5012,Residential,Single Family,,MOBILE HOME,,POINT (-71.880285988 41.872007992)
20001,2020,10/01/2020,Columbia,42 OAKWOOD LANE,"$201,900.00","$340,000.00",0.5938,Residential,Single Family,,,,
201016,2020,05/14/2021,Greenwich,210 WEST LYON FARM DRIVE,"$918,120.00","$1,400,000.00",0.6558,Residential,Condo,,,,POINT (-73.65442 41.02708)
210050,2021,11/29/2021,Coventry,94 STONEHOUSE RD #25,"$230,900.00","$419,900.00",0.5498,Residential,Condo,,,,POINT (-72.300402984 41.770087989)
200155,2020,11/25/2020,Branford,17 MONTGOMERY PARKWAY,"$383,300.00","$629,999.00",0.6084,Residential,Single Family,,,,POINT (-72.80888 41.25549)
210168,2021,11/02/2021,Danbury,31 REGEN RD,"$238,500.00","$480,000.00",0.4968,Residential,Single Family,,K09087,,POINT (-73.428329962 41.423300994)
200429,2020,07/28/2021,Avon,12 BRENTHAVEN,"$214,470.00","$410,000.00",0.523,Residential,Condo,,,,POINT (-72.81077 41.81093)
200023,2020,10/23/2020,Coventry,280 ROOT RD,"$92,600.00","$80,000.00",1.1575,Residential,Single Family,26 - Rehabilitation Deferred,,,
211531,2021,05/09/2022,Bridgeport,258 GOLDEN HILL ST,"$294,196.00","$300,000.00",0.9806,Vacant Land,,,,,POINT (-73.192136983 41.18012501)
200645,2020,02/17/2021,Greenwich,123 VALLEY DRIVE,"$2,661,200.00","$3,000,000.00",0.887,Residential,Single Family,,,,
200189,2020,12/14/2020,Branford,195 PINE ORCHARD RD,"$237,600.00","$570,000.00",0.4168,Residential,Single Family,,,,POINT (-72.78291 41.27137)
200011,2020,10/16/2020,Killingworth,614 ROUTE 148,"$209,010.00","$200,000.00",1.045,Residential,Single Family,25 - Other,NO MARKET EXPOSURE,,
210194,2021,11/08/2021,Danbury,83 W WOOSTER ST,"$164,500.00","$345,000.00",0.4768,Residential,Single Family,,H16106,,POINT (-73.459639975 41.385248998)
200050,2020,12/08/2020,Easton,31 KACHELE STREET,"$494,130.00","$685,000.00",0.7213,Residential,Single Family,,,,POINT (-73.24946 41.25303)
20833,2020,08/18/2021,East Hartford,71 MAIN ST,"$112,360.00","$242,000.00",0.4642,Residential,Single Family,,,,POINT (-72.621 41.73054)
20065,2020,10/30/2020,Farmington,1670-3 FARMINGTON AV,"$76,870.00","$120,000.00",0.6405,Residential,Condo,,,,
210105,2021,05/12/2022,Brooklyn,341 DAY ST,"$82,800.00","$410,000.00",0.2019,Residential,Single Family,07 - Change in Property,,,POINT (-71.919544978 41.815387021)
20419,2020,06/21/2021,Darien,13 LYNN COURT,"$560,910.00","$1,235,000.00",0.4541,Residential,Single Family,,,,
200548,2020,06/08/2021,Branford,56 STONY CREEK RD,"$1,346,500.00","$675,000.00",1.9948,Commercial,,25 - Other,BUYER HAS BEEN RENTING AND RUNNING BUSINESS OUT OF PARCEL,,
210352,2021,12/23/2021,New Britain,130 JUDD AVE,"$90,580.00","$202,000.00",0.4484,Residential,Single Family,,,,POINT (-72.757440001 41.676039012)
210363,2021,01/28/2022,Fairfield,635 STILLSON ROAD,"$365,540.00","$649,000.00",0.5632,Residential,Single Family,07 - Change in Property,BUILDING PERMITS,,POINT (-73.253911023 41.177871996)
201145,2020,08/18/2021,Manchester,208 BRIARWOOD DRIVE,"$151,700.00","$311,000.00",0.48778135,Residential,Single Family,,,,POINT (-72.54399 41.74928)
200143,2020,06/28/2021,Hebron,3 GILBERT LANE,"$67,212.00","$354,073.00",0.1898,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION- PARTIALLY FINISHED,,
210050,2021,03/02/2022,Kent,80 NORTH MAIN ST B1UB4,"$106,300.00","$264,700.00",0.401586702,Residential,Condo,,,,POINT (-73.471236002 41.728898981)
200111,2020,05/07/2021,Hebron,82 PORTER RD,"$30,390.00","$100,000.00",0.3039,Residential,Single Family,07 - Change in Property,OWNER OCCUPIED- MOBILE HOME REMOVED AFTER SALE,,POINT (-72.40839 41.67119)
200025,2020,10/07/2020,Manchester,150 CROFT DRIVE,"$123,200.00","$224,000.00",0.55,Residential,Single Family,,,,POINT (-72.56804 41.80367)
200570,2020,09/09/2021,Guilford,386 BOSTON ST,"$195,590.00","$389,900.00",0.5016,Residential,Single Family,07 - Change in Property,,,
200141,2020,11/20/2020,Branford,82 PINE ORCHARD RD,"$266,700.00","$545,000.00",0.4893,Residential,Single Family,07 - Change in Property,RENO AND IMPROVEMENTS DONE WITHOUT PERMITS/ASSESSMENT DOESN'T REFLECT THOSE CHANGES,,POINT (-72.79494 41.27733)
200283,2020,07/22/2021,Colchester,393 LINEWOOD CEMETERY RD,"$74,900.00","$157,000.00",0.477,Residential,Single Family,,CONDO,,
20099,2020,02/11/2021,Derby,54-56 LAKEVIEW TERR,"$146,580.00","$315,000.00",0.4653,Residential,Two Family,,,,POINT (-73.10932 41.33305)
200233,2020,02/09/2021,Farmington,110 SONGBIRD LA,"$113,040.00","$172,500.00",0.6553,Residential,Condo,,,,POINT (-72.88698 41.6997)
210025,2021,10/20/2021,Ledyard,1897 CENTER GROTON RD,"$283,920.00","$500,000.00",0.5678,Residential,Single Family,,,,POINT (-72.015488014 41.431186018)
20030,2020,10/16/2020,Farmington,47 FLORENCE WAY,"$217,710.00","$342,500.00",0.635649635,Residential,Condo,,SALE INCLUDES DETACHED GARAGE G46 (9103) ASSESSMENTS COMBINED 211060+6650=217710,,POINT (-72.88598 41.70048)
2016743,2020,07/19/2021,Redding,241 ETHAN ALLEN HIGHWAY,"$1,769,800.00","$1,800,000.00",0.9832,Commercial,,,,,
200528,2020,09/29/2021,Avon,2 CONIFER LANE,"$189,560.00","$275,000.00",0.6893,Residential,Condo,,,,POINT (-72.88037 41.77089)
200660,2020,07/01/2021,Enfield,59 MIDDLE RD,"$9,140.00","$900,000.00",0.010155556,Vacant Land,,28 - Use Assessment,,,
20445,2020,08/12/2021,Bethel,75 ROCKWELL ROAD,"$252,140.00","$483,000.00",0.522,Residential,Single Family,,,,POINT (-73.3837 41.38988)
200242,2020,01/11/2021,Branford,175 CHERRY HILL RD,"$187,100.00","$300,000.00",0.623666667,Residential,Single Family,07 - Change in Property,"MARKETED AS VACANT LAND/HOUSE ON PROPERTY SOLD AS ""TEAR DOWN"" /VERY POOR CONDITION/UNSAFE TO ENTER",,POINT (-72.82996 41.29727)
200500,2020,09/07/2021,Avon,245 NEW ROAD,"$217,640.00","$400,000.00",0.5441,Residential,Single Family,,,,
200145,2020,08/09/2021,New Hartford,82 NILES ROAD,"$238,980.00","$460,000.00",0.5195,Residential,Single Family,,,,
210105,2021,10/27/2021,Bristol,90 FIELD ST,"$96,810.00","$240,000.00",0.4033,Residential,Single Family,,,,POINT (-72.962163963 41.668907018)
200197,2020,02/24/2021,Avon,71 NORTH FARMS ROAD,"$355,850.00","$592,000.00",0.601,Residential,Single Family,,,,POINT (-72.84914 41.77511)
211561,2021,05/11/2022,Bridgeport,315 WILLIAM ST,"$179,039.00","$425,000.00",0.421268235,Residential,Single Family,07 - Change in Property,IMPROVED MADE INTO A FARM (NO PERMIT),,POINT (-73.186365037 41.188684987)
2020409,2020,09/13/2021,Berlin,106 ELLWOOD RD,"$245,100.00","$450,000.00",0.5446,Residential,Single Family,,,,
200598,2020,07/12/2021,Groton,62 SOUND BREEZE AVE,"$328,020.00","$635,000.00",0.5165,Residential,Single Family,,,,POINT (-72.00822 41.31244)
21053,2021,12/15/2021,East Haddam,FALLS BASHAN RD,$400.00,"$65,000.00",0.0061,Vacant Land,,28 - Use Assessment,,,POINT (-72.414853418 41.499292702)
10205,2001,06/18/2002,Oxford,31 CORTLAND PL,"$65,930.00","$125,000.00",0.52744,,,,,,
20100,2020,11/04/2020,Hartford,462 BARBOUR ST,"$20,440.00","$310,000.00",0.065935484,Residential,Three Family,07 - Change in Property,,COMPLETELY RENOVATED PER MLS,
200001,2020,10/01/2020,Killingly,38 GENDREAU DR,"$148,890.00","$259,500.00",0.5737,Residential,Single Family,,,,
200080,2020,02/08/2021,Woodstock,6 FAWN RIDGE,"$54,700.00","$125,000.00",0.4376,Residential,Condo,,,,
200362,2020,06/29/2021,Avon,14 FAWN RUN,"$447,240.00","$750,000.00",0.5963,Residential,Single Family,,,,
