Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column
Ridgeway Shopping Center,2202 Bedford St,Stamford,24 hours daily,NONE,NONE,1,NONE,POINT (-73.545939 41.068654)
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily,NONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001)
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6086744 41.711717)
TOWN HALL,31 Park Street,Guilford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6798002 41.2832367)
Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.769268 41.692299)
STARWOOD,1 Star Point,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5318605 41.0409048)
COMCAST,90 Phoenix Ave,Enfield,24 hours daily,NONE,4,NONE,NONE,POINT (-72.581611 41.977252)
BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4764687 41.072882)
Capital Regional Development Authority (CRDA),105 Columbus Blvd,Hartford,6am-12am daily,NONE,2,NONE,NONE,POINT (-72.670165 41.763287)
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,NONE,NONE,16,NONE,POINT (-72.562282 41.80452)
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,NONE,NONE,2,NONE,POINT (-73.009059 41.245823)
Premier Subaru,155 N Main St,Branford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.813257 41.287914)
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily,NONE,2,NONE,NONE,POINT (-73.138786 41.988528)
Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,24 hours daily; for customer use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.623525 41.017757)
Greenlots - 92143,665 Commerce Dr,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.23358 41.163146)
Clinton Town Hall,54 E Main St,Clinton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.524041 41.276743)
Charter Oak International Academy,425 Oakwood Ave,West Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.722829 41.742975)
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,6am-12am daily,NONE,2,NONE,NONE,POINT (-73.033472 41.23636)
FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 hours daily,NONE,2,NONE,NONE,POINT (-71.9523342 41.469981700000005)
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,24 hours daily; see front desk for access,NONE,1,NONE,NONE,POINT (-73.453043 41.092037)
"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-71.906918 41.331744)
Propark Harbor Point Gateway Garage - Tesla Destination,406-424 Washington Blvd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.543258 41.045384000000006)
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,NONE,2,NONE,NONE,POINT (-72.3825 41.3102778)
