Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Unnamed_Column_11
375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Summer 2022,06/01/2022,11.7,
386,Ozone (O3),Mean,ppb,UHF34,301,Washington Heights,Summer 2022,06/01/2022,29.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2021-22,12/01/2021,6.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,304,Bushwick (CD4),Annual Average 2021,01/01/2021,17.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2020,01/01/2020,19,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,301,Greenpoint and Williamsburg (CD1),Summer 2021,06/01/2021,9.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Annual Average 2022,01/01/2022,15.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Winter 2021-22,12/01/2021,22.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402,West Queens,Winter 2020-21,12/01/2020,7.4,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Summer 2020,06/01/2020,12.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,410,Rockaways,Winter 2020-21,12/01/2020,6.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Annual Average 2022,01/01/2022,8.4,
386,Ozone (O3),Mean,ppb,UHF42,407,Southwest Queens,Summer 2021,06/01/2021,31.9,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,201,Greenpoint,Winter 2021-22,12/01/2021,23.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,211,Morris Park and Bronxdale (CD11),Annual Average 2021,01/01/2021,6.6,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2022,06/01/2022,10.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,203,Morrisania and Crotona (CD3),Summer 2022,06/01/2022,7.2,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Summer 2020,06/01/2020,9.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,402,West Queens,Summer 2021,06/01/2021,9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2021,06/01/2021,4.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Winter 2021-22,12/01/2021,14.5,
386,Ozone (O3),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2021,06/01/2021,30.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Winter 2020-21,12/01/2020,19.2,
386,Ozone (O3),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2020,06/01/2020,28.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Winter 2021-22,12/01/2021,7.3,
827074,386,Ozone (O3),Mean,ppb,UHF34,206,Borough Park,Summer 2022,06/01/2022,35.2
365,Fine particles (PM 2.5),Mean,mcg/m3,Citywide,1,New York City,Annual Average 2021,01/01/2021,6.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206,Borough Park,Winter 2021-22,12/01/2021,6.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Summer 2022,06/01/2022,12.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2022,01/01/2022,14.4,
375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Winter 2020-21,12/01/2020,20.9,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Winter 2021-22,12/01/2021,22.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2021,06/01/2021,8.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401,Long Island City - Astoria,Summer 2020,06/01/2020,7.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,Citywide,1,New York City,Summer 2020,06/01/2020,7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,501,St. George and Stapleton (CD1),Summer 2020,06/01/2020,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,316,Brownsville (CD16),Winter 2021-22,12/01/2021,21.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Summer 2021,06/01/2021,9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301,Washington Heights,Winter 2021-22,12/01/2021,7.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Summer 2021,06/01/2021,11.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,Annual Average 2022,01/01/2022,5.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Summer 2020,06/01/2020,8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Annual Average 2022,01/01/2022,16.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Winter 2020-21,12/01/2020,6.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Annual Average 2021,01/01/2021,16.1,
386,Ozone (O3),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Summer 2020,06/01/2020,29.5,
827062,386,Ozone (O3),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2022,06/01/2022,34.5
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2020,06/01/2020,7.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2022,06/01/2022,8.5,
386,Ozone (O3),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2020,06/01/2020,29,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209,Bensonhurst - Bay Ridge,Summer 2022,06/01/2022,6,
386,Ozone (O3),Mean,ppb,CD,315,Sheepshead Bay (CD15),Summer 2022,06/01/2022,36.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2021,06/01/2021,14.6,
386,Ozone (O3),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2020,06/01/2020,28.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2022,06/01/2022,6.3,
825885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Summer 2022,06/01/2022,9.7
375,Nitrogen dioxide (NO2),Mean,ppb,CD,316,Brownsville (CD16),Winter 2020-21,12/01/2020,22.9,
386,Ozone (O3),Mean,ppb,UHF42,408,Jamaica,Summer 2021,06/01/2021,31,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2021,06/01/2021,10.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2020,01/01/2020,18.5,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2021,06/01/2021,11.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Summer 2021,06/01/2021,8.5,
386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2020,06/01/2020,27.8,
386,Ozone (O3),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2021,06/01/2021,27.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2022,01/01/2022,15.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2022,01/01/2022,7.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2022,06/01/2022,6.4,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Winter 2020-21,12/01/2020,22,
386,Ozone (O3),Mean,ppb,UHF42,410,Rockaways,Summer 2021,06/01/2021,34.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Annual Average 2022,01/01/2022,5.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Winter 2021-22,12/01/2021,6.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Winter 2020-21,12/01/2020,6.4,
386,Ozone (O3),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2020,06/01/2020,31.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2020,06/01/2020,6.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2021,06/01/2021,17.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,405,Ridgewood and Maspeth (CD5),Winter 2021-22,12/01/2021,6.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,305,East New York and Starrett City (CD5),Annual Average 2022,01/01/2022,5.7,
386,Ozone (O3),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Summer 2020,06/01/2020,30,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Winter 2021-22,12/01/2021,19.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2020-21,12/01/2020,6.8,
386,Ozone (O3),Mean,ppb,CD,401,Long Island City and Astoria (CD1),Summer 2022,06/01/2022,33.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,Citywide,1,New York City,Winter 2020-21,12/01/2020,6.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207,East Flatbush - Flatbush,Summer 2021,06/01/2021,8.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Winter 2020-21,12/01/2020,6.7,
827070,386,Ozone (O3),Mean,ppb,UHF34,210,Coney Island - Sheepshead Bay,Summer 2022,06/01/2022,37.1
375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2022,06/01/2022,14.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2021-22,12/01/2021,7.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409,Kew Gardens and Woodhaven (CD9),Annual Average 2020,01/01/2020,6.1,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Annual Average 2020,01/01/2020,18.1,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Annual Average 2021,01/01/2021,18.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Summer 2021,06/01/2021,8.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Winter 2021-22,12/01/2021,7.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2021,01/01/2021,6.6,
386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2022,06/01/2022,37.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Summer 2022,06/01/2022,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Summer 2021,06/01/2021,13.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2021,01/01/2021,7.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302,Central Harlem - Morningside Heights,Winter 2020-21,12/01/2020,6.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,309,South Crown Heights and Lefferts Gardens (CD9),Winter 2021-22,12/01/2021,6.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,318,Flatlands and Canarsie (CD18),Annual Average 2021,01/01/2021,6.2,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Winter 2020-21,12/01/2020,20.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,Sunset Park,Summer 2020,06/01/2020,11.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,305,Upper East Side,Annual Average 2022,01/01/2022,18.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Summer 2020,06/01/2020,10.7,
386,Ozone (O3),Mean,ppb,CD,305,East New York and Starrett City (CD5),Summer 2020,06/01/2020,29.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Annual Average 2021,01/01/2021,16.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106,High Bridge - Morrisania,Winter 2020-21,12/01/2020,6.6,
827083,386,Ozone (O3),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2022,06/01/2022,30
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2020-21,12/01/2020,22.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Annual Average 2021,01/01/2021,22.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2021,06/01/2021,9.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409,Southeast Queens,Winter 2021-22,12/01/2021,6.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Annual Average 2021,01/01/2021,6.3,
386,Ozone (O3),Mean,ppb,UHF42,402,West Queens,Summer 2021,06/01/2021,29.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,304,Upper West Side,Winter 2021-22,12/01/2021,6.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Annual Average 2020,01/01/2020,17.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Annual Average 2021,01/01/2021,6.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Winter 2020-21,12/01/2020,7.1,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Winter 2020-21,12/01/2020,20.2,
386,Ozone (O3),Mean,ppb,Borough,5,Staten Island,Summer 2020,06/01/2020,28.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2020,01/01/2020,16,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Annual Average 2021,01/01/2021,15.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2020,06/01/2020,13,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Winter 2021-22,12/01/2021,22.3,
386,Ozone (O3),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2020,06/01/2020,29.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Summer 2021,06/01/2021,8.8,
386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2020,06/01/2020,31.6,
386,Ozone (O3),Mean,ppb,Borough,4,Queens,Summer 2020,06/01/2020,30.5,
386,Ozone (O3),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Summer 2022,06/01/2022,34.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,401,Long Island City and Astoria (CD1),Summer 2022,06/01/2022,7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Annual Average 2022,01/01/2022,8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2022,01/01/2022,6.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Winter 2021-22,12/01/2021,6.6,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Winter 2020-21,12/01/2020,20.1,
386,Ozone (O3),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2020,06/01/2020,31.3,
386,Ozone (O3),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2020,06/01/2020,27.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Annual Average 2022,01/01/2022,17.3,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Summer 2021,06/01/2021,13.1,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2021,06/01/2021,14.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Annual Average 2022,01/01/2022,5,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2020-21,12/01/2020,23.1,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Annual Average 2020,01/01/2020,16.9,
386,Ozone (O3),Mean,ppb,UHF42,303,East Harlem,Summer 2020,06/01/2020,30.2,
386,Ozone (O3),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2020,06/01/2020,29.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2020,06/01/2020,7.1,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2022,01/01/2022,17.4,
827063,386,Ozone (O3),Mean,ppb,UHF34,402,West Queens,Summer 2022,06/01/2022,33.6
375,Nitrogen dioxide (NO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Annual Average 2021,01/01/2021,20.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2022,06/01/2022,10.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2021-22,12/01/2021,6.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2021,06/01/2021,10.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Winter 2020-21,12/01/2020,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Summer 2021,06/01/2021,8.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2021,06/01/2021,8.5,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Annual Average 2021,01/01/2021,17.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Annual Average 2020,01/01/2020,15.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,405,Ridgewood and Maspeth (CD5),Summer 2021,06/01/2021,8.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2022,06/01/2022,14.2,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,111,East Harlem (CD11),Annual Average 2021,01/01/2021,18.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,304,Upper West Side,Summer 2020,06/01/2020,7.2,
386,Ozone (O3),Mean,ppb,UHF42,403,Flushing - Clearview,Summer 2022,06/01/2022,34.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Winter 2020-21,12/01/2020,7.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,411,Bayside and Little Neck (CD11),Winter 2021-22,12/01/2021,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Winter 2020-21,12/01/2020,23.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2020,06/01/2020,7.8,
375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,Staten Island,Annual Average 2022,01/01/2022,11.2,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2022,01/01/2022,14.3,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),Winter 2021-22,12/01/2021,16.9,
386,Ozone (O3),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2022,06/01/2022,31.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Summer 2020,06/01/2020,7.5,
386,Ozone (O3),Mean,ppb,UHF42,405,Ridgewood - Forest Hills,Summer 2020,06/01/2020,30.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,405,Ridgewood - Forest Hills,Annual Average 2020,01/01/2020,6.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408,Jamaica,Summer 2020,06/01/2020,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Summer 2022,06/01/2022,10.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314,Flatbush and Midwood (CD14),Winter 2021-22,12/01/2021,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Annual Average 2021,01/01/2021,15.7,
386,Ozone (O3),Mean,ppb,UHF42,403,Flushing - Clearview,Summer 2021,06/01/2021,30.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Winter 2020-21,12/01/2020,7.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Annual Average 2022,01/01/2022,6.3,
