ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,Unnamed_Column_24,Unnamed_Column_25
02/09/2012,49,17,17,10,22,76,459,"1,704","1,426",782,489,375,445,404,419,500,548,689,565,360,281,222,148,77
02/17/2012,525,377,281,257,313,455,801,"1,148","1,169",988,906,910,991,"1,059","1,040","1,198","1,206","1,182","1,201","1,233","1,138","1,092","1,032",958
02/01/2012,137,93,82,56,55,101,212,440,631,525,517,507,549,540,570,682,745,691,591,432,359,337,245,203
01/31/2012,282,180,147,153,365,749,"1,485","2,006","2,022","1,797","1,590","1,400","1,466","1,579","1,477","1,541","1,596","1,715","1,415","1,058",930,817,713,568
02/14/2012,51,21,15,12,11,17,67,176,262,148,113,126,132,119,173,167,186,130,116,140,93,97,81,71
02/03/2012,41,25,16,14,10,13,36,64,84,70,68,68,80,89,66,112,145,146,115,110,94,133,75,70
02/04/2012,50,20,18,16,17,17,28,30,59,77,125,101,155,137,120,110,131,112,113,90,82,62,64,65
01/11/2012,37,28,13,14,21,36,119,235,318,255,205,258,436,476,565,691,711,675,560,470,365,267,180,129
01/31/2012,27,15,7,6,7,14,26,76,81,76,50,56,56,77,64,114,126,139,120,111,86,82,52,48
02/03/2012,165,98,97,64,81,111,214,462,612,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,114869,HYLAN BLVD,OLGA PL,STEUBEN ST,NB,01/09/2012,66,49,42,33,69,152,414,"1,032",849,586,457,446,479,547,687,635,601,538
01/18/2012,45,22,14,5,17,40,69,136,192,156,177,128,124,170,182,195,229,194,211,179,148,103,76,53
01/09/2012,51,26,15,9,14,44,140,293,263,176,162,200,202,218,304,322,344,300,281,237,179,166,105,91
02/16/2012,63,42,21,16,25,33,61,127,176,193,147,194,190,246,274,374,363,387,335,309,222,154,124,90
02/01/2012,30,13,16,27,35,73,138,208,227,139,112,137,145,150,174,204,157,174,158,176,117,112,107,88
02/16/2012,36,12,11,10,9,26,70,169,219,161,153,161,181,175,179,235,245,239,197,139,121,77,65,80
02/15/2012,106,78,35,27,29,68,160,320,343,372,339,357,409,377,370,508,489,527,505,506,378,313,234,147
01/22/2012,290,195,138,126,76,104,160,288,498,632,728,859,,,,,,,,,,,,
52,15741,BAY ST,CLINTON ST,BALTIC ST,SB,01/12/2012,85,67,36,40,48,127,278,529,554,473,427,499,513,530,576,578,560,642
01/21/2012,58,49,16,31,21,21,39,84,154,100,130,131,168,152,153,148,134,155,133,111,88,98,78,70
02/02/2012,29,23,9,12,12,17,19,90,79,64,71,50,64,48,86,110,103,113,93,91,91,63,62,33
02/01/2012,54,25,21,36,64,113,232,370,285,183,164,160,165,188,238,202,208,202,140,157,155,111,92,51
01/31/2012,140,93,79,53,86,90,203,472,214,512,518,474,541,578,566,707,726,671,508,463,354,276,277,174
02/23/2012,35,27,31,30,33,51,162,216,232,175,190,196,211,232,256,232,254,236,225,203,150,132,93,82
01/20/2012,171,71,52,31,38,46,105,261,345,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/12/2012,22,7,7,8,11,12,33,75,89,66,70,60,105,103,71,127,122,144
02/14/2012,37,15,7,5,5,17,59,117,186,114,106,91,126,143,187,305,335,341,336,209,127,82,71,60
01/31/2012,129,83,60,51,63,128,214,289,438,509,453,396,390,409,418,397,423,416,387,334,241,220,177,169
02/02/2012,51,15,21,20,41,85,148,205,223,140,122,115,138,161,201,178,156,148,184,149,116,125,107,77
01/13/2012,43,25,16,13,15,31,74,203,307,175,175,209,208,198,282,377,321,362,262,220,162,126,128,93
01/17/2012,86,71,40,28,36,83,142,270,348,246,234,223,203,282,277,271,259,278,251,227,209,177,153,110
01/31/2012,155,96,50,44,67,171,346,558,681,513,510,531,542,666,744,872,915,968,869,731,543,476,311,250
01/27/2012,205,167,150,174,189,143,257,399,372,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2012,147,104,73,62,73,114,234,454,639,534,469,506,548,540,601,717,678,723,598,469,338,271,271,215
02/07/2012,27,7,7,5,13,17,48,89,139,221,132,177,140,140,127,174,135,146,113,88,80,87,48,40
01/12/2012,18,5,8,6,8,17,48,220,175,90,72,74,80,91,161,134,93,109,97,79,54,41,37,35
01/12/2012,113,53,47,49,84,278,699,"1,185","1,182",788,694,747,693,721,"1,011",896,780,816,661,577,464,441,319,244
02/01/2012,114,67,69,84,114,196,297,392,440,350,411,439,557,500,522,605,643,691,581,378,320,227,202,160
01/09/2012,62,36,31,21,52,90,187,351,367,263,230,226,200,284,324,290,319,308,253,181,160,146,94,82
01/11/2012,66,27,22,19,32,80,205,393,384,310,250,231,272,273,284,396,331,324,343,282,247,178,140,109
01/18/2012,29,13,18,20,18,62,71,114,145,123,100,110,110,134,122,156,156,169,131,121,75,66,67,29
02/16/2012,144,79,50,41,37,54,128,218,322,357,310,332,343,374,414,439,505,494,482,423,322,295,269,210
01/30/2012,80,29,20,9,42,51,142,293,307,235,191,201,207,269,264,373,378,328,275,201,162,124,96,93
02/19/2012,171,138,88,74,76,74,95,129,182,247,0,0,,,,,,,,,,,,
02/01/2012,25,31,21,9,7,17,26,96,80,66,66,59,66,62,87,115,142,145,98,98,73,70,46,33
02/01/2012,472,278,204,197,262,464,932,"1,380","1,746","1,387","1,256","1,222","1,408","1,428","1,597","1,899","1,940","1,992","1,786","1,690","1,308","1,121",994,767
01/19/2012,88,49,27,27,42,101,240,406,529,418,279,281,281,322,346,365,370,360,361,279,265,190,154,185
02/03/2012,57,28,29,20,33,67,168,214,212,144,154,202,,,,,,,,,,,,
02/24/2012,218,137,87,89,134,269,492,757,801,732,682,774,811,805,881,923,"1,037","1,011","1,013",924,710,629,553,436
02/05/2012,273,143,138,117,156,125,107,132,191,254,322,377,,,,,,,,,,,,
02/17/2012,100,53,38,40,65,88,217,467,419,321,282,316,176,0,0,0,0,0,0,0,0,0,0,0
01/09/2012,15,8,6,8,6,14,32,150,160,91,73,60,71,108,156,162,170,195,113,74,58,35,32,31
01/27/2012,37,19,24,13,17,32,82,196,247,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/17/2012,23,15,7,6,10,26,54,136,183,140,111,106,120,114,144,158,183,184,158,142,103,85,62,45
01/12/2012,26,17,16,9,9,36,94,310,326,161,160,167,156,167,286,336,260,241,255,234,183,130,83,71
01/10/2012,86,34,31,24,31,42,104,289,363,242,164,204,200,178,277,410,450,458,367,293,210,179,138,101
01/12/2012,53,35,15,13,35,124,155,243,266,225,214,249,233,190,259,243,227,241,236,223,202,146,106,54
02/08/2012,104,75,44,40,53,110,212,370,609,458,424,445,457,474,527,636,684,673,591,493,344,286,222,160
02/11/2012,165,119,96,63,54,56,61,114,186,265,371,391,379,380,402,396,473,398,373,332,308,247,206,214
02/01/2012,122,66,73,90,161,390,840,"1,213","1,096",698,510,574,621,621,618,632,670,674,535,510,424,342,261,214
01/19/2012,18,7,11,5,10,27,86,223,184,117,95,74,91,110,135,118,98,105,117,98,79,79,57,40
02/15/2012,20,7,11,6,12,19,60,142,198,163,175,222,223,212,247,336,376,428,308,242,178,98,79,53
01/18/2012,171,89,55,41,35,110,158,389,529,437,478,382,440,426,351,522,551,534,409,421,324,191,177,203
01/26/2012,48,19,26,21,35,80,188,355,347,216,175,180,124,182,251,256,267,225,235,179,146,149,99,59
02/18/2012,183,139,117,86,112,79,84,85,168,226,258,265,295,308,313,366,381,400,384,385,364,326,260,295
02/01/2012,66,32,42,24,27,49,79,148,177,156,182,169,158,216,216,315,348,394,290,189,144,142,106,82
01/20/2012,88,50,37,23,70,67,142,281,326,286,42,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2012,2,1,0,1,3,3,3,8,24,9,6,9,13,9,14,27,16,19,16,13,14,9,5,7
02/17/2012,105,77,59,46,102,299,680,813,696,559,526,510,558,549,575,578,583,632,435,0,0,0,0,0
01/10/2012,57,19,23,21,18,68,171,220,330,209,204,221,261,240,279,339,356,303,290,262,179,103,57,33
01/25/2012,303,206,158,125,200,394,563,664,692,494,416,406,420,465,495,566,596,585,469,384,342,316,335,349
01/30/2012,37,26,12,19,24,32,62,183,148,91,104,82,105,96,170,154,146,181,143,113,96,58,68,55
01/25/2012,95,63,68,80,94,172,225,258,335,333,255,294,303,329,327,335,381,385,300,205,188,136,130,128
01/10/2012,73,39,29,26,43,112,282,570,671,455,417,442,508,511,637,670,679,666,512,479,359,244,206,141
01/30/2012,60,56,42,22,76,101,434,902,508,372,295,287,300,330,374,353,409,515,334,256,178,182,147,86
01/11/2012,210,112,73,75,63,94,190,306,487,427,410,421,441,491,517,522,608,638,547,476,386,342,246,232
01/17/2012,33,18,15,6,25,30,151,277,250,213,206,210,204,201,274,283,232,248,182,141,106,76,65,46
02/18/2012,928,678,609,522,541,569,480,522,675,827,854,888,"1,022","1,081","1,130","1,237","1,155","1,170","1,263","1,372","1,321","1,287","1,243","1,136"
02/16/2012,24,9,18,8,12,28,121,161,197,125,137,137,142,156,132,210,229,225,215,194,126,75,58,50
02/01/2012,37,25,19,21,29,35,91,189,162,118,124,154,175,184,192,281,280,239,213,171,146,112,72,50
02/21/2012,187,91,82,70,128,246,540,785,810,683,678,759,794,830,779,849,929,"1,005",923,813,637,549,424,305
02/15/2012,123,70,61,35,48,63,147,228,323,343,312,377,352,386,410,488,485,531,471,423,376,313,235,162
01/26/2012,141,95,103,148,221,489,633,847,750,679,600,640,620,634,602,659,703,686,591,516,447,311,298,220
02/09/2012,67,27,13,14,18,44,161,493,400,217,159,148,173,171,242,209,248,276,244,205,171,142,104,129
02/04/2012,188,139,115,79,114,110,208,240,364,388,451,454,469,551,501,561,540,560,505,458,399,386,368,308
01/11/2012,172,123,68,60,57,105,214,489,568,435,378,428,392,453,507,660,687,714,619,473,428,333,263,235
02/07/2012,651,365,236,193,190,343,846,"1,345","1,843","1,491","1,355","1,341","1,463","1,604","2,107","3,155","3,701","3,751","3,457","2,171","1,567","1,278","1,191",937
02/15/2012,80,44,29,31,47,89,179,334,339,257,277,354,382,410,383,472,452,478,465,395,298,238,142,108
02/11/2012,87,51,28,35,24,34,50,68,118,190,228,238,287,298,292,305,297,294,265,239,219,203,142,120
01/24/2012,184,135,125,86,159,318,473,701,698,541,443,474,471,550,602,588,610,486,469,382,331,314,241,298
01/31/2012,55,39,28,21,27,39,98,191,243,232,242,236,263,249,215,255,274,276,229,213,166,137,123,63
01/24/2012,183,105,115,102,137,235,422,550,619,520,539,576,604,673,670,800,748,779,782,611,447,370,279,225
02/02/2012,113,82,60,38,54,99,219,297,327,363,352,417,534,444,525,679,734,997,718,493,345,263,201,181
01/22/2012,56,33,31,29,53,35,35,60,91,131,180,210,,,,,,,,,,,,
01/12/2012,45,29,16,12,20,34,100,237,262,194,157,159,165,172,175,218,223,188,161,93,110,89,66,39
01/24/2012,49,30,29,19,16,34,80,159,237,225,200,248,263,312,292,346,335,348,331,249,198,179,87,67
02/18/2012,46,35,15,12,20,30,139,220,283,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2012,42,26,31,17,30,47,143,215,221,198,201,206,206,227,229,238,245,232,217,171,141,123,85,67
02/17/2012,121,75,38,33,53,111,329,775,757,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2012,617,398,303,182,204,263,416,841,"1,266","1,184","1,001",907,907,936,"1,051",985,"1,203","1,223","1,157",995,"1,026",915,714,657
01/26/2012,94,72,39,45,70,66,99,222,282,268,222,262,295,316,404,481,578,570,579,461,335,240,193,152
01/11/2012,162,113,62,62,88,161,424,770,"1,263",884,777,905,"1,008","1,053","1,047","1,373","1,281","1,446","1,187",968,781,528,320,229
01/18/2012,78,40,30,16,32,65,143,285,337,261,261,256,272,251,317,397,385,411,360,321,251,199,163,139
01/18/2012,134,87,71,69,65,100,227,493,582,720,690,749,825,803,808,"1,008","1,455","1,657","1,338",772,377,233,189,173
01/10/2012,77,46,28,51,59,207,549,645,588,427,398,363,344,341,377,457,382,498,370,328,218,197,139,107
01/17/2012,60,41,17,11,30,36,81,184,227,221,252,284,329,309,346,392,310,354,379,248,236,189,145,152
02/01/2012,65,50,36,28,51,118,436,"1,030",797,652,303,351,358,365,402,377,400,472,348,282,226,198,180,126
01/09/2012,31,14,15,11,24,34,76,189,261,166,152,184,219,209,312,356,285,307,219,156,146,108,65,67
01/12/2012,40,28,27,12,19,70,149,217,328,236,163,200,210,254,247,310,309,0,114,273,183,134,103,85
01/20/2012,89,74,58,23,37,77,197,420,446,371,57,0,0,0,0,0,0,0,0,0,0,0,0,0
01/21/2012,195,100,97,64,45,52,93,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2012,35,17,11,8,12,38,112,253,392,247,182,173,205,196,234,267,281,282,222,243,155,112,68,43
02/17/2012,5,1,5,5,4,33,71,55,19,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,15047,CLOVE RD,NECKAR AVE,WESER AVE,NB,01/14/2012,99,59,54,34,40,44,83,167,216,291,305,310,,,,,,
02/08/2012,84,49,24,21,28,69,153,456,614,477,391,419,421,434,464,612,626,554,528,406,337,241,246,144
01/30/2012,109,98,62,68,90,110,186,323,444,453,415,409,426,408,426,439,389,434,359,293,252,205,145,137
02/17/2012,83,54,32,30,26,46,65,135,175,180,154,178,196,259,247,336,364,335,348,272,226,161,157,129
02/01/2012,302,204,161,161,287,809,"1,500","1,986","1,948","1,833","1,510","1,492","1,513","1,511","1,586","1,626","1,580","1,801","1,417","1,134",925,791,750,571
01/31/2012,59,39,38,34,31,53,108,227,265,220,183,170,192,193,213,286,218,248,190,149,120,107,125,79
02/03/2012,133,92,65,60,71,91,152,389,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,EB,01/09/2012,21,11,2,3,11,29,117,511,328,156,129,144,159,163,281,251,218,219
02/02/2012,177,100,71,44,84,165,338,558,684,592,594,607,611,630,729,852,920,977,903,714,575,504,334,247
02/19/2012,88,107,79,56,47,64,69,99,116,0,0,0,,,,,,,,,,,,
01/27/2012,287,189,157,125,205,374,539,663,709,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2012,13,20,7,8,10,23,48,67,121,82,106,104,129,117,125,115,134,171,135,95,69,61,47,26
01/31/2012,412,278,184,176,286,449,940,"1,469","1,663","1,467","1,250","1,243","1,333","1,390","1,497","1,864","1,854","1,915","1,778","1,622","1,346","1,081",947,771
02/02/2012,137,72,43,52,56,108,223,527,689,457,340,429,389,504,534,598,668,628,517,416,293,286,198,167
01/09/2012,96,88,72,41,64,63,135,229,287,210,212,247,233,208,255,261,252,240,215,212,178,147,150,114
01/13/2012,140,109,105,63,67,98,246,354,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/17/2012,45,26,19,19,4,6,14,83,222,797,557,326,214,236,204,266,265,237,350,389,170,132,118,93
02/11/2012,121,86,50,37,42,57,62,95,122,193,252,219,232,269,254,234,321,309,306,275,237,184,187,160
01/29/2012,196,133,115,106,125,87,77,81,137,261,296,366,474,504,543,526,572,492,455,481,418,265,166,150
02/12/2012,71,61,41,37,33,34,33,41,74,164,211,270,308,314,325,337,311,294,225,179,153,107,91,76
01/10/2012,104,75,58,50,62,78,148,242,294,243,236,202,243,268,294,309,379,343,277,252,201,176,159,152
01/30/2012,124,98,55,37,66,164,372,520,619,516,496,577,518,588,710,821,866,962,861,658,545,439,257,223
01/31/2012,106,62,50,53,63,133,265,499,475,371,307,336,402,429,543,758,692,720,711,558,412,314,274,190
67,107956,HYLAN BLVD,NARROWS RD SO,STEUBEN ST,SB,01/09/2012,70,56,37,34,38,99,257,689,546,389,412,509,541,600,611,768,809,930
01/12/2012,157,129,60,64,92,166,386,731,"1,245",846,700,941,953,"1,024","1,226","1,338","1,214","1,409","1,093",960,693,561,336,217
01/18/2012,63,47,20,25,22,39,93,184,223,208,271,249,296,318,299,334,356,371,292,301,225,171,152,128
01/31/2012,114,112,74,60,47,75,143,372,515,589,443,437,409,466,411,426,462,464,412,397,293,262,220,178
66,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/14/2012,106,72,60,38,47,45,95,113,205,240,294,339,,,,,,
02/14/2012,70,47,46,38,42,86,255,464,595,514,420,380,424,421,396,386,451,452,412,321,298,232,185,148
01/27/2012,59,35,29,22,35,50,98,223,239,200,161,169,173,203,301,330,354,347,339,282,214,193,160,135
01/09/2012,12,8,2,3,4,15,53,123,108,73,56,62,77,77,122,111,134,128,129,103,63,67,48,18
02/05/2012,54,44,31,25,33,10,0,0,0,0,0,0,,,,,,,,,,,,
01/11/2012,72,55,38,36,41,58,152,218,265,231,223,281,248,243,275,291,310,329,263,238,200,148,101,91
01/27/2012,201,158,155,149,210,106,122,192,251,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2012,45,41,21,19,23,36,57,93,106,141,167,175,187,176,133,166,192,178,206,165,156,121,97,66
01/13/2012,62,26,13,22,26,42,109,345,369,236,263,304,291,245,452,509,443,481,453,316,244,223,137,108
02/03/2012,36,34,23,16,27,48,104,197,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/28/2012,61,43,39,29,52,36,42,60,130,153,171,217,201,231,259,260,267,263,227,194,157,164,134,124
02/15/2012,94,58,45,42,40,85,253,470,578,427,433,395,426,400,401,482,541,437,459,409,328,234,180,137
02/08/2012,82,39,26,28,59,163,387,561,523,401,373,407,383,454,509,518,529,513,495,355,306,281,205,121
02/16/2012,30,19,15,5,9,12,22,78,222,325,193,100,106,104,112,126,160,152,133,143,127,123,67,49
01/19/2012,63,32,27,16,25,34,86,155,228,281,299,284,315,317,356,336,380,367,345,291,239,209,180,145
02/01/2012,114,73,71,66,79,113,175,244,433,454,404,433,419,405,431,404,453,441,421,340,297,210,217,183
62,15047,CLOVE RD,NECKAR AVE,WESER AVE,SB,01/10/2012,44,29,19,32,21,75,163,363,377,298,272,285,290,322,337,379,395,333
01/11/2012,140,77,58,56,80,296,623,"1,139","1,181",840,699,759,787,678,982,869,876,825,700,651,515,364,331,221
01/11/2012,51,32,19,13,24,43,165,361,354,246,242,265,299,274,342,350,389,340,359,314,219,162,112,69
02/07/2012,48,19,7,9,14,32,69,301,627,386,292,314,327,329,480,756,"1,049","1,010",730,463,274,229,163,91
02/01/2012,81,59,40,39,59,96,226,434,346,304,321,283,330,288,360,400,360,387,333,312,276,227,194,125
02/01/2012,40,16,13,11,9,21,37,54,208,96,53,66,73,63,75,77,81,77,95,92,82,90,63,47
02/16/2012,581,422,320,208,215,239,451,850,"1,220","1,212","1,052",988,"1,018",990,"1,078","1,069","1,219","1,275","1,368","1,226","1,153","1,016",900,747
01/10/2012,65,38,28,16,66,177,192,298,480,278,274,346,373,335,432,535,457,526,433,395,314,241,150,114
01/17/2012,75,42,22,18,38,50,153,277,341,290,243,279,252,261,278,371,390,387,354,318,233,202,147,111
01/09/2012,51,34,16,16,23,43,107,180,341,352,274,245,229,234,296,414,369,397,315,274,161,144,100,78
01/20/2012,209,90,54,45,58,102,166,342,518,328,220,0,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2012,98,62,55,54,79,99,214,379,356,291,278,310,315,302,368,368,332,401,332,309,260,203,172,117
02/14/2012,36,23,12,15,29,56,165,822,"1,149",218,174,193,196,207,265,273,270,246,239,178,127,96,71,63
01/20/2012,178,93,51,38,42,119,272,683,850,692,717,750,759,825,"1,017","1,142","1,182","1,217",976,822,617,579,426,305
02/01/2012,37,24,15,9,12,25,82,163,150,95,104,101,85,116,147,167,155,204,152,137,113,89,51,40
02/03/2012,345,257,180,198,322,673,"1,340","1,713","1,757","1,659","1,546","1,499","1,647","1,621","1,662","1,731",0,0,0,0,0,0,0,0
02/02/2012,63,48,46,31,49,65,101,209,206,187,177,170,179,178,231,248,260,231,248,170,178,130,104,83
01/09/2012,60,26,25,20,52,163,202,403,454,256,276,346,360,338,480,534,499,504,439,400,316,229,133,98
02/03/2012,69,59,38,41,39,61,120,198,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/20/2012,27,20,6,9,15,25,84,182,185,120,25,93,92,93,149,141,104,121,109,97,92,63,84,56
01/17/2012,10,7,7,4,7,17,73,187,610,380,338,200,292,234,181,163,155,256,186,112,72,121,54,20
01/27/2012,38,18,15,22,30,74,241,220,332,231,165,190,209,223,235,270,280,242,251,225,175,171,138,93
01/17/2012,25,11,6,5,9,12,25,60,96,72,60,64,68,79,95,93,120,126,101,99,109,96,46,30
01/24/2012,134,113,116,145,229,509,592,729,747,623,512,634,579,585,635,617,692,637,581,486,430,339,278,193
7,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/09/2012,27,12,12,4,22,27,66,154,155,138,105,124,140,120,165,197,152,174
19,12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,WB,01/09/2012,18,7,7,4,3,23,28,179,177,136,126,204,173,177,280,326,496,301
01/10/2012,41,15,20,11,14,31,109,243,257,206,168,166,178,166,200,221,240,193,159,106,86,72,75,46
01/10/2012,76,40,40,38,62,123,325,707,507,304,313,289,362,395,487,418,551,502,331,311,245,177,168,116
01/11/2012,86,60,40,43,57,103,338,471,610,389,360,353,389,410,506,482,525,557,408,337,240,221,180,140
