ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
281538735,02/02/2024,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,K,90,0,18-24,M,WHITE HISPANIC,997836,198033,40.71022112105877,-73.95099522724557,POINT (-73.95099522724557 40.71022112105877)
280861175,01/21/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,43,0,45-64,M,BLACK,1022318,237781,40.81924750430425,-73.86246351692567,POINT (-73.86246351692567 40.81924750430425)
280692294,01/17/2024,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553501,F,B,47,0,18-24,M,BLACK HISPANIC,1022451,265312,40.894811187060924,-73.86182610273228,POINT (-73.86182610273228 40.894811187060924)
279846355,01/02/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,42,0,25-44,M,BLACK,1011930,244473,40.83765377863846,-73.89996683866406,POINT (-73.89996683866406 40.83765377863846)
280662934,01/17/2024,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTE,PL 125271A,F,K,73,0,25-44,M,BLACK,1007743,184918,40.674205,-73.915304,POINT (-73.915304 40.674205)
280849040,01/20/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,34,0,25-44,M,BLACK,1006554,254361,40.86480860943879,-73.9193623369752,POINT (-73.9193623369752 40.86480860943879)
280497254,01/14/2024,494,"STOLEN PROPERTY 2,1,POSSESSION",111,POSSESSION OF STOLEN PROPERTY,PL 1655200,F,B,50,0,25-44,M,BLACK,1010664,258616,40.87647593461977,-73.90448632037709,POINT (-73.90448632037709 40.87647593461977)
279905500,01/03/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,63,0,25-44,F,BLACK,1005861,161533,40.610023,-73.922165,POINT (-73.922165 40.610023)
280145811,01/08/2024,106,ASSAULT POLICE/PEACE OFFICER,106,FELONY ASSAULT,PL 1200503,F,B,40,0,18-24,M,BLACK,1005805,237596,40.81879545979216,-73.92212414817566,POINT (-73.92212414817566 40.81879545979216)
281122080,01/25/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,84,0,25-44,F,BLACK,987639,191256,40.691632,-73.987779,POINT (-73.987779 40.691632)
281579501,02/02/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,M,25,0,25-44,M,WHITE HISPANIC,1000168,230850,40.800293,-73.942503,POINT (-73.942503 40.800293)
280599114,01/16/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,75,2,25-44,F,BLACK,1021909,182502,40.667524,-73.864248,POINT (-73.864248 40.667524)
279887061,01/03/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,69,2,18-24,M,BLACK,1016320,170575,40.63481,-73.884452,POINT (-73.884452 40.63481)
281230376,01/28/2024,112,MENACING 1ST DEGREE (VICT NOT,126,MISCELLANEOUS PENAL LAW,PL 1201800,F,M,20,0,45-64,M,WHITE,987917,221312,40.774128,-73.986758,POINT (-73.986758 40.774128)
280266288,01/10/2024,515,"CONTROLLED SUBSTANCE,SALE 3",117,DANGEROUS DRUGS,PL 2203901,F,M,6,0,25-44,M,WHITE HISPANIC,985145,203571,40.725431986870625,-73.9967709936638,POINT (-73.9967709936638 40.725431986870625)
280292698,01/10/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,18,0,25-44,M,WHITE HISPANIC,988324,215536,40.758273,-73.985293,POINT (-73.985293 40.758273)
280798142,01/19/2024,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,B,46,0,18-24,M,WHITE HISPANIC,1011925,251675,40.8574211488664,-73.89995518231908,POINT (-73.89995518231908 40.8574211488664)
280614264,01/16/2024,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,Q,101,0,25-44,F,BLACK,1052442,159782,40.60497859593714,-73.75441852707769,POINT (-73.75441852707769 40.60497859593714)
280692313,01/17/2024,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,14,1,25-44,M,BLACK,987078,215157,40.757232265258125,-73.98979219054627,POINT (-73.98979219054627 40.757232265258125)
280974020,01/23/2024,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,Q,100,0,18-24,M,WHITE,1034651,151715,40.58295539532784,-73.81854964166001,POINT (-73.81854964166001 40.58295539532784)
280488294,01/14/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,110,0,25-44,M,WHITE HISPANIC,1022646,211409,40.746865,-73.861426,POINT (-73.861426 40.746865)
280113905,01/07/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,75,0,18-24,F,WHITE HISPANIC,1021289,186931,40.679683,-73.86646,POINT (-73.86646 40.679683)
280370243,01/12/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,40,0,25-44,M,WHITE HISPANIC,1006233,235217,40.81226471867211,-73.92058562409836,POINT (-73.92058562409836 40.81226471867211)
280385479,01/12/2024,916,LEAVING SCENE-ACCIDENT-PERSONA,348,VEHICLE AND TRAFFIC LAWS,VTL06000AA,M,B,46,0,25-44,M,BLACK,1009983,249108,40.85038137619991,-73.90698533884958,POINT (-73.90698533884958 40.85038137619991)
280404114,01/12/2024,969,"TRAFFIC,UNCLASSIFIED INFRACTIO",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,K,62,0,25-44,M,WHITE HISPANIC,984809,166094,40.62256608808326,-73.99798633216908,POINT (-73.99798633216908 40.62256608808326)
280278337,01/10/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,71,0,25-44,M,BLACK,999005,181250,40.664154,-73.946814,POINT (-73.946814 40.664154)
280986831,01/23/2024,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,B,41,0,25-44,M,WHITE HISPANIC,1012789,238609,40.821558,-73.896886,POINT (-73.896886 40.821558)
279820300,01/02/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,26,0,18-24,M,BLACK,996358,235620,40.813389894368306,-73.95625868043503,POINT (-73.95625868043503 40.813389894368306)
282056326,02/11/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,73,0,45-64,M,BLACK,1009865,187272,40.68066,-73.907645,POINT (-73.907645 40.68066)
280149126,01/08/2024,441,"LARCENY,GRAND OF AUTO",110,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,50,0,18-24,M,WHITE,1010193,259758,40.879613,-73.906184,POINT (-73.906184 40.879613)
281049887,01/24/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,B,40,0,45-64,M,BLACK,1006949,236454,40.81566,-73.917992,POINT (-73.917992 40.81566)
280843836,01/20/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,44,0,18-24,M,BLACK,1008557,240917,40.82790351498835,-73.91216944981272,POINT (-73.91216944981272 40.82790351498835)
280934978,01/22/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601001,F,K,73,0,<18,M,BLACK,1009450,178286,40.655994680511895,-73.90917734206653,POINT (-73.90917734206653 40.655994680511895)
280020722,01/05/2024,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553001,F,M,5,0,45-64,M,BLACK,983903,200257,40.716337,-74.001251,POINT (-74.001251 40.716337)
280397201,01/12/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,13,0,25-44,M,WHITE,989557,206508,40.733494,-73.980849,POINT (-73.980849 40.733494)
280079206,01/06/2024,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,Q,105,0,45-64,M,BLACK,1057716,181696,40.665088,-73.735185,POINT (-73.735185 40.665088)
280483797,01/14/2024,802,ALCOHOLIC BEVERAGE CONTROL LAW,346,ALCOHOLIC BEVERAGE CONTROL LAW,ABC0065000,M,Q,114,0,18-24,F,BLACK,1008434,218626,40.766722,-73.912691,POINT (-73.912691 40.766722)
280349892,01/11/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200510,F,Q,114,0,<18,M,BLACK HISPANIC,1009104,215497,40.758133,-73.910285,POINT (-73.910285 40.758133)
281483586,02/01/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,63,0,25-44,F,BLACK,1006131,171650,40.637791,-73.921157,POINT (-73.921157 40.637791)
280406841,01/12/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,Q,107,0,25-44,M,BLACK,1044383,206450,40.73312977197938,-73.78302517587814,POINT (-73.78302517587814 40.73312977197938)
281363525,01/30/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,84,0,45-64,M,WHITE HISPANIC,988174,190975,40.690859,-73.985848,POINT (-73.985848 40.690859)
280883628,01/21/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0392AMU,M,K,75,0,25-44,M,BLACK,1013266,181991,40.66615239895688,-73.89540826524888,POINT (-73.89540826524888 40.66615239895688)
280281732,01/10/2024,969,"TRAFFIC,UNCLASSIFIED INFRACTIO",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,Q,113,0,18-24,M,BLACK,1047398,187644,40.68149090966233,-73.772322722247,POINT (-73.772322722247 40.68149090966233)
280682994,01/17/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,24,0,18-24,F,BLACK,993574,228738,40.794507,-73.966322,POINT (-73.966322 40.794507)
281182506,01/26/2024,707,"IMPERSONATION 2, PUBLIC SERVAN",340,FRAUDS,PL 1902300,M,B,43,0,25-44,M,WHITE HISPANIC,1016737,240567,40.826917,-73.882613,POINT (-73.882613 40.826917)
281132853,01/25/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,M,14,0,25-44,F,BLACK,987078,215157,40.757232265258125,-73.98979219054627,POINT (-73.98979219054627 40.757232265258125)
279881642,01/03/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,S,120,0,18-24,M,BLACK,962978,167567,40.626585,-74.076631,POINT (-74.076631 40.626585)
280912712,01/22/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,25-44,M,BLACK,989486,214740,40.756088,-73.981098,POINT (-73.981098 40.756088)
280885565,01/21/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,S,121,0,25-44,M,BLACK,939732,169424,40.631594390469076,-74.16038755260283,POINT (-74.16038755260283 40.631594390469076)
280638356,01/16/2024,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553501,F,K,69,0,18-24,M,BLACK,1012675,171441,40.63719688220877,-73.89758305781577,POINT (-73.89758305781577 40.63719688220877)
281196074,01/27/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,B,40,2,25-44,F,BLACK,1010515,236824,40.816666,-73.905107,POINT (-73.905107 40.816666)
279981883,01/04/2024,494,"STOLEN PROPERTY 2,1,POSSESSION",111,POSSESSION OF STOLEN PROPERTY,PL 1654501,F,M,19,0,18-24,M,BLACK HISPANIC,998838,224118,40.781819,-73.947322,POINT (-73.947322 40.781819)
280363424,01/11/2024,490,"STOLEN PROPERTY 3,POSSESSION",232,POSSESSION OF STOLEN PROPERTY,PL 1654000,M,B,40,0,25-44,M,BLACK,1005597,234066,40.80910710427738,-73.92288685607681,POINT (-73.92288685607681 40.80910710427738)
281201765,01/27/2024,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,PL 2201601,F,M,6,0,25-44,M,BLACK,984302,205953,40.731971,-73.99981,POINT (-73.99981 40.731971)
280912631,01/22/2024,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 2403001,M,B,41,0,25-44,M,BLACK,1013096,236605,40.816057,-73.895785,POINT (-73.895785 40.816057)
280096401,01/07/2024,461,UNAUTHORIZED USE VEHICLE 2,126,MISCELLANEOUS PENAL LAW,PL 1650800,F,S,121,0,25-44,M,BLACK,937434,170748,40.635218,-74.168673,POINT (-74.168673 40.635218)
281233101,01/28/2024,268,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,M,33,0,25-44,M,WHITE HISPANIC,1001995,246270,40.842614,-73.935865,POINT (-73.935865 40.842614)
280994695,01/24/2024,462,UNAUTHORIZED USE VEHICLE 3,353,UNAUTHORIZED USE OF A VEHICLE,PL 1650501,M,M,14,0,25-44,M,BLACK,985802,213780,40.753455,-73.994398,POINT (-73.994398 40.753455)
281183014,01/26/2024,879,"ADM.CODE,UNCLASSIFIED VIOLATIO",675,ADMINISTRATIVE CODE,AC 0161186,V,Q,110,0,25-44,M,WHITE HISPANIC,1022285,212504,40.74986910551557,-73.86272585671628,POINT (-73.86272585671628 40.74986910551557)
279895750,01/03/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,106,0,65+,F,WHITE,1026836,180689,40.662526,-73.846499,POINT (-73.846499 40.662526)
280504389,01/14/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,13,0,18-24,M,WHITE HISPANIC,985689,208933,40.740151,-73.994805,POINT (-73.994805 40.740151)
281053971,01/24/2024,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1702500,F,Q,103,0,18-24,M,WHITE HISPANIC,1037600,195875,40.70414752375049,-73.8075836597636,POINT (-73.8075836597636 40.70414752375049)
281806712,02/07/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,77,0,65+,M,WHITE,994506,185551,40.675967,-73.963023,POINT (-73.963023 40.675967)
280448499,01/13/2024,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,M,B,44,0,45-64,F,BLACK,1006537,244511,40.837774,-73.919455,POINT (-73.919455 40.837774)
280408824,01/12/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,S,122,0,25-44,F,WHITE,952887,146000,40.567358,-74.112884,POINT (-74.112884 40.567358)
280552174,01/15/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,81,0,25-44,M,BLACK,1006896,187640,40.681677,-73.918348,POINT (-73.918348 40.681677)
281617201,02/02/2024,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,B,48,0,25-44,M,BLACK,1015931,247102,40.844859,-73.885493,POINT (-73.885493 40.844859)
280224643,01/09/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,72,0,45-64,M,WHITE HISPANIC,978918,173599,40.64316413520362,-74.01921322260426,POINT (-74.01921322260426 40.64316413520362)
282248602,02/15/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,18-24,M,BLACK,1021554,261934,40.885545,-73.865086,POINT (-73.865086 40.885545)
281041945,01/24/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,63,0,25-44,M,BLACK,1003022,167793,40.627211,-73.932373,POINT (-73.932373 40.627211)
281499186,02/01/2024,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,79,0,45-64,M,BLACK,996546,187436,40.6811367070632,-73.9556676077586,POINT (-73.9556676077586 40.6811367070632)
281293760,01/29/2024,164,SODOMY 3,116,SEX CRIMES,PL 1304003,F,Q,105,0,18-24,M,ASIAN / PACIFIC ISLANDER,1057738,204079,40.7265293769835,-73.7348645378882,POINT (-73.7348645378882 40.7265293769835)
280169704,01/08/2024,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1702500,F,K,75,0,25-44,M,WHITE HISPANIC,1014565,180333,40.6616,-73.890732,POINT (-73.890732 40.6616)
281973281,02/09/2024,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,M,10,0,25-44,F,WHITE HISPANIC,984003,212390,40.749639,-74.00089,POINT (-74.00089 40.749639)
281429416,01/31/2024,462,UNAUTHORIZED USE VEHICLE 3,353,UNAUTHORIZED USE OF A VEHICLE,PL 1650501,M,S,122,0,25-44,M,WHITE,958198,147697,40.572034,-74.093774,POINT (-74.093774 40.572034)
280115433,01/07/2024,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,120,0,25-44,M,BLACK,958147,172888,40.641178,-74.094053,POINT (-74.094053 40.641178)
280654609,01/17/2024,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 2403001,M,B,40,0,25-44,F,WHITE HISPANIC,1005040,234533,40.810391,-73.924895,POINT (-73.924895 40.810391)
279767591,01/01/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,14,0,25-44,M,BLACK HISPANIC,986881,214802,40.756259,-73.990501,POINT (-73.990501 40.756259)
280109450,01/07/2024,203,"TRESPASS 3, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100A,M,Q,101,1,45-64,M,WHITE HISPANIC,1052559,159711,40.60478281508588,-73.75399789247773,POINT (-73.75399789247773 40.60478281508588)
280157761,01/08/2024,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,M,M,7,0,25-44,F,WHITE,988196,200763,40.717723870166544,-73.98576515589919,POINT (-73.98576515589919 40.717723870166544)
280686436,01/17/2024,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,M,B,45,0,18-24,M,BLACK,1027425,246061,40.84195020887039,-73.84395910327429,POINT (-73.84395910327429 40.84195020887039)
279825490,01/02/2024,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,BLACK,1010774,235171,40.812125995016096,-73.90418129247784,POINT (-73.90418129247784 40.812125995016096)
281474346,02/01/2024,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,18,1,18-24,M,BLACK,988451,217993,40.7650240788333,-73.9848359497083,POINT (-73.9848359497083 40.7650240788333)
280619789,01/16/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,Q,110,0,25-44,M,WHITE HISPANIC,1019946,206619,40.733729,-73.871197,POINT (-73.871197 40.733729)
280196722,01/09/2024,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,M,5,0,25-44,F,WHITE,983903,200257,40.716337,-74.001251,POINT (-74.001251 40.716337)
280608527,01/16/2024,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553001,F,K,84,0,25-44,M,WHITE HISPANIC,988174,190975,40.690859,-73.985848,POINT (-73.985848 40.690859)
279794477,01/01/2024,198,CRIMINAL CONTEMPT 1,126,MISCELLANEOUS PENAL LAW,PL 21551B5,F,Q,114,2,18-24,M,BLACK,1003061,221181,40.773748,-73.93208,POINT (-73.93208 40.773748)
281850128,02/07/2024,916,LEAVING SCENE-ACCIDENT-PERSONA,348,VEHICLE AND TRAFFIC LAWS,VTL06000AA,M,B,41,0,65+,M,BLACK,1013096,236605,40.816057,-73.895785,POINT (-73.895785 40.816057)
280519692,01/15/2024,209,"BURGLARS TOOLS,UNCLASSIFIED",231,BURGLAR'S TOOLS,PL 1403500,M,M,18,0,18-24,M,BLACK HISPANIC,985611,218079,40.76525275237906,-73.99508680987398,POINT (-73.99508680987398 40.76525275237906)
282263467,02/15/2024,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1702500,F,B,43,0,25-44,M,BLACK HISPANIC,1019953,238985,40.82256201611437,-73.87100164443848,POINT (-73.87100164443848 40.82256201611437)
280620130,01/16/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200508,F,B,46,0,18-24,M,BLACK HISPANIC,1011585,249642,40.851843,-73.90119,POINT (-73.90119 40.851843)
280299681,01/11/2024,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402501,F,M,7,0,45-64,M,BLACK,988521,200915,40.718143,-73.984593,POINT (-73.984593 40.718143)
281245955,01/28/2024,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,S,122,0,45-64,M,WHITE,941524,139505,40.549482,-74.153739,POINT (-74.153739 40.549482)
